Polling Place ID,POLL_NAME,ADDRESS,CITY,STATE,ZIP,PRECINCT
13,BOULDER CITY REC CENTER,900 ARIZONA ST,BOULDER CITY,NV,89005,7551
13,BOULDER CITY REC CENTER,900 ARIZONA ST,BOULDER CITY,NV,89005,7552
15,"BRIDGER, JIM MIDDLE SCHOOL",2505 N BRUCE ST,NORTH LAS VEGAS,NV,89030,4590
15,"BRIDGER, JIM MIDDLE SCHOOL",2505 N BRUCE ST,NORTH LAS VEGAS,NV,89030,4596
15,"BRIDGER, JIM MIDDLE SCHOOL",2505 N BRUCE ST,NORTH LAS VEGAS,NV,89030,4597
15,"BRIDGER, JIM MIDDLE SCHOOL",2505 N BRUCE ST,NORTH LAS VEGAS,NV,89030,4598
378,"BROOKMAN, EILEEN ELEMENTARY",6225 E WASHINGTON AVE,LAS VEGAS,NV,89110,5504
378,"BROOKMAN, EILEEN ELEMENTARY",6225 E WASHINGTON AVE,LAS VEGAS,NV,89110,5513
378,"BROOKMAN, EILEEN ELEMENTARY",6225 E WASHINGTON AVE,LAS VEGAS,NV,89110,5515
17,"BROWN, B MAHLON JUNIOR HIGH SCHOOL",307 CANNES ST,HENDERSON,NV,89015,7430
17,"BROWN, B MAHLON JUNIOR HIGH SCHOOL",307 CANNES ST,HENDERSON,NV,89015,7536
19,"BRYAN, RICHARD ELEMENTARY",8050 CIELO VISTA AVE,LAS VEGAS,NV,89128,3391
19,"BRYAN, RICHARD ELEMENTARY",8050 CIELO VISTA AVE,LAS VEGAS,NV,89128,3739
19,"BRYAN, RICHARD ELEMENTARY",8050 CIELO VISTA AVE,LAS VEGAS,NV,89128,3754
20,"BRYAN, ROGER ELEMENTARY",8255 W KATIE AVE,LAS VEGAS,NV,89147,6057
20,"BRYAN, ROGER ELEMENTARY",8255 W KATIE AVE,LAS VEGAS,NV,89147,1605
20,"BRYAN, ROGER ELEMENTARY",8255 W KATIE AVE,LAS VEGAS,NV,89147,1611
279,"BUNKER, BERKELEY ELEMENTARY",6350 PEAK DR,LAS VEGAS,NV,89108,3743
279,"BUNKER, BERKELEY ELEMENTARY",6350 PEAK DR,LAS VEGAS,NV,89108,3843
279,"BUNKER, BERKELEY ELEMENTARY",6350 PEAK DR,LAS VEGAS,NV,89108,3845
279,"BUNKER, BERKELEY ELEMENTARY",6350 PEAK DR,LAS VEGAS,NV,89108,3854
21,BUNKERVILLE COMMUNITY CENTER,200 W VIRGIN ST,BUNKERVILLE,NV,89007,2725
22,"BURKHOLDER, LYAL MIDDLE SCHOOL",355 W VAN WAGENEN ST,HENDERSON,NV,89015,7351
22,"BURKHOLDER, LYAL MIDDLE SCHOOL",355 W VAN WAGENEN ST,HENDERSON,NV,89015,7356
22,"BURKHOLDER, LYAL MIDDLE SCHOOL",355 W VAN WAGENEN ST,HENDERSON,NV,89015,7358
22,"BURKHOLDER, LYAL MIDDLE SCHOOL",355 W VAN WAGENEN ST,HENDERSON,NV,89015,7359
414,"CADWALLADER, RALPH L MIDDLE SCH",7775 ELKHORN RD,LAS VEGAS,NV,89131,2615
414,"CADWALLADER, RALPH L MIDDLE SCH",7775 ELKHORN RD,LAS VEGAS,NV,89131,2651
414,"CADWALLADER, RALPH L MIDDLE SCH",7775 ELKHORN RD,LAS VEGAS,NV,89131,2652
25,"CAMBEIRO, ARTURO ELEMENTARY",2851 HARRIS AVE,LAS VEGAS,NV,89101,4548
25,"CAMBEIRO, ARTURO ELEMENTARY",2851 HARRIS AVE,LAS VEGAS,NV,89101,4551
25,"CAMBEIRO, ARTURO ELEMENTARY",2851 HARRIS AVE,LAS VEGAS,NV,89101,4569
332,CAMBRIDGE RECREATION CENTER,3930 CAMBRIDGE ST,LAS VEGAS,NV,89119,5581
332,CAMBRIDGE RECREATION CENTER,3930 CAMBRIDGE ST,LAS VEGAS,NV,89119,5582
332,CAMBRIDGE RECREATION CENTER,3930 CAMBRIDGE ST,LAS VEGAS,NV,89119,5583
332,CAMBRIDGE RECREATION CENTER,3930 CAMBRIDGE ST,LAS VEGAS,NV,89119,5586
408,"CANARELLI, LAWRENCE AND HEIDI MS",7808 S TORREY PINES DR,LAS VEGAS,NV,89139,1619
408,"CANARELLI, LAWRENCE AND HEIDI MS",7808 S TORREY PINES DR,LAS VEGAS,NV,89139,1703
408,"CANARELLI, LAWRENCE AND HEIDI MS",7808 S TORREY PINES DR,LAS VEGAS,NV,89139,6714
408,"CANARELLI, LAWRENCE AND HEIDI MS",7808 S TORREY PINES DR,LAS VEGAS,NV,89139,6724
365,"CARL, KAY ELEMENTARY",5625 CORBETT ST,LAS VEGAS,NV,89130,2352
365,"CARL, KAY ELEMENTARY",5625 CORBETT ST,LAS VEGAS,NV,89130,2353
365,"CARL, KAY ELEMENTARY",5625 CORBETT ST,LAS VEGAS,NV,89130,2354
28,"CARTWRIGHT, ROBERTA ELEMENTARY",1050 E GARY AVE,LAS VEGAS,NV,89123,1334
28,"CARTWRIGHT, ROBERTA ELEMENTARY",1050 E GARY AVE,LAS VEGAS,NV,89123,1341
28,"CARTWRIGHT, ROBERTA ELEMENTARY",1050 E GARY AVE,LAS VEGAS,NV,89123,1337
299,CENTENNIAL HIGH SCHOOL,10200 W CENTENNIAL PKWY,LAS VEGAS,NV,89149,3532
299,CENTENNIAL HIGH SCHOOL,10200 W CENTENNIAL PKWY,LAS VEGAS,NV,89149,3416
299,CENTENNIAL HIGH SCHOOL,10200 W CENTENNIAL PKWY,LAS VEGAS,NV,89149,3418
299,CENTENNIAL HIGH SCHOOL,10200 W CENTENNIAL PKWY,LAS VEGAS,NV,89149,3706
299,CENTENNIAL HIGH SCHOOL,10200 W CENTENNIAL PKWY,LAS VEGAS,NV,89149,3707
299,CENTENNIAL HIGH SCHOOL,10200 W CENTENNIAL PKWY,LAS VEGAS,NV,89149,3708
299,CENTENNIAL HIGH SCHOOL,10200 W CENTENNIAL PKWY,LAS VEGAS,NV,89149,3709
31,CHEYENNE HIGH SCHOOL,3200 W ALEXANDER RD,NORTH LAS VEGAS,NV,89032,4500
